Time,Object,Error,Delta Error,Left Motor,Right Motor
6.368,376,0,0,9.000000000000004,9.000000000000004
6.4,375,1,1,8.632229748555659,9.07507218479307
6.432,376,0,-1,9.07507218479307,9.000000000000002
6.464,376,0,0,9.000000000000004,9.000000000000004
6.496,375,1,1,8.632229748555659,9.07507218479307
6.5280000000000005,376,0,-1,9.07507218479307,9.000000000000002
6.5600000000000005,376,0,0,9.000000000000004,9.000000000000004
6.5920000000000005,375,1,1,8.632229748555659,9.07507218479307
6.6240000000000006,376,0,-1,9.07507218479307,9.000000000000002
6.656000000000001,376,0,0,9.000000000000004,9.000000000000004
6.688,375,1,1,8.632229748555659,9.07507218479307
6.72,376,0,-1,9.07507218479307,9.000000000000002
6.752,376,0,0,9.000000000000004,9.000000000000004
6.784,375,1,1,8.632229748555659,9.07507218479307
6.816,376,0,-1,9.07507218479307,9.000000000000002
6.848,376,0,0,9.000000000000004,9.000000000000004
6.88,375,1,1,8.632229748555659,9.07507218479307
6.912,376,0,-1,9.07507218479307,9.000000000000002
6.944,375,1,1,8.632229748555659,9.07507218479307
6.976,376,0,-1,9.07507218479307,9.000000000000002
7.008,376,0,0,9.000000000000004,9.000000000000004
7.04,376,0,0,9.000000000000004,9.000000000000004
7.072,375,1,1,8.632229748555659,9.07507218479307
7.104,376,0,-1,9.07507218479307,9.000000000000002
7.136,376,0,0,9.000000000000004,9.000000000000004
7.168,375,1,1,8.632229748555659,9.07507218479307
7.2,376,0,-1,9.07507218479307,9.000000000000002
7.232,376,0,0,9.000000000000004,9.000000000000004
7.264,375,1,1,8.632229748555659,9.07507218479307
7.296,376,0,-1,9.07507218479307,9.000000000000002
7.328,376,0,0,9.000000000000004,9.000000000000004
7.36,375,1,1,8.632229748555659,9.07507218479307
7.392,376,0,-1,9.07507218479307,9.000000000000002
7.424,376,0,0,9.000000000000004,9.000000000000004
7.456,376,0,0,9.000000000000004,9.000000000000004
7.488,375,1,1,8.632229748555659,9.07507218479307
7.5200000000000005,376,0,-1,9.07507218479307,9.000000000000002
7.5520000000000005,376,0,0,9.000000000000004,9.000000000000004
7.5840000000000005,375,1,1,8.632229748555659,9.07507218479307
7.6160000000000005,376,0,-1,9.07507218479307,9.000000000000002
7.648000000000001,376,0,0,9.000000000000004,9.000000000000004
7.68,375,1,1,8.632229748555659,9.07507218479307
7.712,376,0,-1,9.07507218479307,9.000000000000002
7.744,376,0,0,9.000000000000004,9.000000000000004
7.776,376,0,0,9.000000000000004,9.000000000000004
7.808,375,1,1,8.632229748555659,9.07507218479307
7.84,376,0,-1,9.07507218479307,9.000000000000002
7.872,376,0,0,9.000000000000004,9.000000000000004
7.904,376,0,0,9.000000000000004,9.000000000000004
7.936,375,1,1,8.632229748555659,9.07507218479307
7.968,376,0,-1,9.07507218479307,9.000000000000002
8.0,376,0,0,9.000000000000004,9.000000000000004
8.032,376,0,0,9.000000000000004,9.000000000000004
8.064,375,1,1,8.632229748555659,9.07507218479307
8.096,376,0,-1,9.07507218479307,9.000000000000002
8.128,376,0,0,9.000000000000004,9.000000000000004
8.16,376,0,0,9.000000000000004,9.000000000000004
8.192,375,1,1,8.632229748555659,9.07507218479307
8.224,376,0,-1,9.07507218479307,9.000000000000002
8.256,376,0,0,9.000000000000004,9.000000000000004
8.288,375,1,1,8.632229748555659,9.07507218479307
8.32,376,0,-1,9.07507218479307,9.000000000000002
8.352,376,0,0,9.000000000000004,9.000000000000004
8.384,376,0,0,9.000000000000004,9.000000000000004
8.416,375,1,1,8.632229748555659,9.07507218479307
8.448,376,0,-1,9.07507218479307,9.000000000000002
8.48,376,0,0,9.000000000000004,9.000000000000004
8.512,376,0,0,9.000000000000004,9.000000000000004
8.544,375,1,1,8.632229748555659,9.07507218479307
8.576,376,0,-1,9.07507218479307,9.000000000000002
8.608,376,0,0,9.000000000000004,9.000000000000004
8.64,376,0,0,9.000000000000004,9.000000000000004
8.672,375,1,1,8.632229748555659,9.07507218479307
8.704,376,0,-1,9.07507218479307,9.000000000000002
8.736,376,0,0,9.000000000000004,9.000000000000004
8.768,376,0,0,9.000000000000004,9.000000000000004
8.8,375,1,1,8.632229748555659,9.07507218479307
8.832,376,0,-1,9.07507218479307,9.000000000000002
8.864,376,0,0,9.000000000000004,9.000000000000004
8.896,375,1,1,8.632229748555659,9.07507218479307
8.928,376,0,-1,9.07507218479307,9.000000000000002
8.96,376,0,0,9.000000000000004,9.000000000000004
8.992,376,0,0,9.000000000000004,9.000000000000004
9.024000000000001,376,0,0,9.000000000000004,9.000000000000004
9.056000000000001,375,1,1,8.632229748555659,9.07507218479307
9.088000000000001,377,-1,-2,9.148976807639835,8.631029703357985
9.120000000000001,376,0,1,9.000000000000002,9.07507218479307
9.152000000000001,376,0,0,9.000000000000004,9.000000000000004
9.184000000000001,376,0,0,9.000000000000004,9.000000000000004
9.216000000000001,376,0,0,9.000000000000004,9.000000000000004
9.248,375,1,1,8.632229748555659,9.07507218479307
9.28,376,0,-1,9.07507218479307,9.000000000000002
9.312,375,1,1,8.632229748555659,9.07507218479307
9.344,376,0,-1,9.07507218479307,9.000000000000002
9.376,376,0,0,9.000000000000004,9.000000000000004
9.408,377,-1,-1,9.07507218479307,8.632229748555659
9.44,377,-1,0,9.060149381981624,8.842115017151277
9.472,376,0,1,9.000000000000002,9.07507218479307
9.504,377,-1,-1,9.07507218479307,8.632229748555659
9.536,381,-5,-4,9.295294753921041,7.306616122505059
9.568,372,4,9,7.513850443199454,9.674907292954266
9.6,373,3,-1,8.57150816665603,9.17783857729138
9.632,381,-5,-8,9.595419847328245,7.221304872608959
9.664,376,0,5,9.000000000000004,9.368669817690751
9.696,379,-3,-3,9.222222222222223,7.941597044694778
9.728,378,-2,1,9.119375573921033,8.716062782883826
9.76,372,4,6,7.583698801824837,9.442822384428222
9.792,375,1,-3,9.02271691442757,9.060727394060727
9.824,376,0,-1,9.07507218479307,9.000000000000002
9.856,376,0,0,9.000000000000004,9.000000000000004
9.888,377,-1,-1,9.07507218479307,8.632229748555659
9.92,377,-1,0,9.060149381981624,8.842115017151277
9.952,377,-1,0,9.060149381981624,8.842115017151277
9.984,378,-2,-1,9.119375573921033,8.4330641108134
10.016,378,-2,0,9.119375573921033,8.690007666419785
10.048,380,-4,-2,9.235690235690235,7.908934771595558
10.08,379,-3,1,9.17783857729138,8.57150816665603
10.112,379,-3,0,9.17783857729138,8.543047592433778
10.144,381,-5,-2,9.293075684380034,7.777024028160393
10.176,380,-4,1,9.235690235690235,8.431419489080012
10.208,377,-1,3,9.060727394060727,9.02271691442757
10.24,379,-3,-2,9.177985439530586,8.043509573845716
10.272,379,-3,0,9.17783857729138,8.543047592433778
10.304,379,-3,0,9.17783857729138,8.543047592433778
10.336,379,-3,0,9.17783857729138,8.543047592433778
10.368,379,-3,0,9.17783857729138,8.543047592433778
10.4,380,-4,-1,9.235690235690235,8.151261852388027
10.432,380,-4,0,9.235690235690235,8.40066127473422
10.464,380,-4,0,9.235690235690235,8.40066127473422
10.496,380,-4,0,9.235690235690235,8.40066127473422
10.528,379,-3,1,9.17783857729138,8.57150816665603
10.56,379,-3,0,9.17783857729138,8.543047592433778
10.592,379,-3,0,9.17783857729138,8.543047592433778
10.624,380,-4,-1,9.235690235690235,8.151261852388027
10.656,379,-3,1,9.17783857729138,8.57150816665603
10.688,379,-3,0,9.17783857729138,8.543047592433778
10.72,379,-3,0,9.17783857729138,8.543047592433778
10.752,379,-3,0,9.17783857729138,8.543047592433778
10.784,379,-3,0,9.17783857729138,8.543047592433778
10.816,379,-3,0,9.17783857729138,8.543047592433778
10.848,380,-4,-1,9.235690235690235,8.151261852388027
10.88,379,-3,1,9.17783857729138,8.57150816665603
10.912,379,-3,0,9.17783857729138,8.543047592433778
10.944,379,-3,0,9.17783857729138,8.543047592433778
10.976,379,-3,0,9.17783857729138,8.543047592433778
11.008000000000001,380,-4,-1,9.235690235690235,8.151261852388027
11.040000000000001,380,-4,0,9.235690235690235,8.40066127473422
11.072000000000001,380,-4,0,9.235690235690235,8.40066127473422
11.104000000000001,380,-4,0,9.235690235690235,8.40066127473422
11.136000000000001,380,-4,0,9.235690235690235,8.40066127473422
11.168000000000001,380,-4,0,9.235690235690235,8.40066127473422
11.200000000000001,379,-3,1,9.17783857729138,8.57150816665603
11.232000000000001,380,-4,-1,9.235690235690235,8.151261852388027
11.264,379,-3,1,9.17783857729138,8.57150816665603
11.296,380,-4,-1,9.235690235690235,8.151261852388027
11.328,380,-4,0,9.235690235690235,8.40066127473422
11.36,380,-4,0,9.235690235690235,8.40066127473422
11.392,380,-4,0,9.235690235690235,8.40066127473422
11.424,380,-4,0,9.235690235690235,8.40066127473422
11.456,381,-5,-1,9.293075684380034,8.016199014243025
11.488,380,-4,1,9.235690235690235,8.431419489080012
11.52,380,-4,0,9.235690235690235,8.40066127473422
11.552,380,-4,0,9.235690235690235,8.40066127473422
11.584,380,-4,0,9.235690235690235,8.40066127473422
11.616,380,-4,0,9.235690235690235,8.40066127473422
11.648,380,-4,0,9.235690235690235,8.40066127473422
11.68,381,-5,-1,9.293075684380034,8.016199014243025
11.712,380,-4,1,9.235690235690235,8.431419489080012
11.744,381,-5,-1,9.293075684380034,8.016199014243025
11.776,380,-4,1,9.235690235690235,8.431419489080012
11.808,380,-4,0,9.235690235690235,8.40066127473422
11.84,380,-4,0,9.235690235690235,8.40066127473422
11.872,381,-5,-1,9.293075684380034,8.016199014243025
11.904,380,-4,1,9.235690235690235,8.431419489080012
11.936,381,-5,-1,9.293075684380034,8.016199014243025
11.968,381,-5,0,9.293075684380034,8.26232380502402
12.0,381,-5,0,9.293075684380034,8.26232380502402
12.032,381,-5,0,9.293075684380034,8.26232380502402
12.064,381,-5,0,9.293075684380034,8.26232380502402
12.096,381,-5,0,9.293075684380034,8.26232380502402
12.128,382,-6,-1,9.350134667179688,7.88440227984444
12.16,381,-5,1,9.293075684380034,8.295290674085665
12.192,381,-5,0,9.293075684380034,8.26232380502402
12.224,381,-5,0,9.293075684380034,8.26232380502402
12.256,382,-6,-1,9.350134667179688,7.88440227984444
12.288,381,-5,1,9.293075684380034,8.295290674085665
12.32,381,-5,0,9.293075684380034,8.26232380502402
12.352,382,-6,-1,9.350134667179688,7.88440227984444
12.384,381,-5,1,9.293075684380034,8.295290674085665
12.416,382,-6,-1,9.350134667179688,7.88440227984444
12.448,381,-5,1,9.293075684380034,8.295290674085665
12.48,382,-6,-1,9.350134667179688,7.88440227984444
12.512,382,-6,0,9.350134667179688,8.12755182366833
12.544,382,-6,0,9.350134667179688,8.12755182366833
12.576,382,-6,0,9.350134667179688,8.12755182366833
12.608,382,-6,0,9.350134667179688,8.12755182366833
12.64,382,-6,0,9.350134667179688,8.12755182366833
12.672,382,-6,0,9.350134667179688,8.12755182366833
12.704,382,-6,0,9.350134667179688,8.12755182366833
12.736,382,-6,0,9.350134667179688,8.12755182366833
12.768,383,-7,-1,9.407002747428278,7.7554443929897285
12.8,382,-6,1,9.350134667179688,8.162655279146026
12.832,382,-6,0,9.350134667179688,8.12755182366833
12.864,382,-6,0,9.350134667179688,8.12755182366833
12.896,382,-6,0,9.350134667179688,8.12755182366833
12.928,383,-7,-1,9.407002747428278,7.7554443929897285
12.96,383,-7,0,9.407002747428278,7.9958974048888205
12.992,383,-7,0,9.407002747428278,7.9958974048888205
13.024000000000001,383,-7,0,9.407002747428278,7.9958974048888205
13.056000000000001,384,-8,-1,9.463812436289503,7.628925820638045
13.088000000000001,383,-7,1,9.407002747428278,8.033080721027586
13.120000000000001,383,-7,0,9.407002747428278,7.9958974048888205
13.152000000000001,383,-7,0,9.407002747428278,7.9958974048888205
13.184000000000001,383,-7,0,9.407002747428278,7.9958974048888205
13.216000000000001,383,-7,0,9.407002747428278,7.9958974048888205
13.248000000000001,384,-8,-1,9.463812436289503,7.628925820638045
13.280000000000001,383,-7,1,9.407002747428278,8.033080721027586
13.312000000000001,384,-8,-1,9.463812436289503,7.628925820638045
13.344,384,-8,0,9.463812436289503,7.866942719116633
13.376,384,-8,0,9.463812436289503,7.866942719116633
13.408,383,-7,1,9.407002747428278,8.033080721027586
13.44,384,-8,-1,9.463812436289503,7.628925820638045
13.472,384,-8,0,9.463812436289503,7.866942719116633
13.504,384,-8,0,9.463812436289503,7.866942719116633
13.536,384,-8,0,9.463812436289503,7.866942719116633
13.568,383,-7,1,9.407002747428278,8.033080721027586
13.6,384,-8,-1,9.463812436289503,7.628925820638045
13.632,384,-8,0,9.463812436289503,7.866942719116633
13.664,385,-9,-1,9.52069425901202,7.504470349445681
13.696,384,-8,1,9.463812436289503,7.90616322752763
13.728,384,-8,0,9.463812436289503,7.866942719116633
13.76,384,-8,0,9.463812436289503,7.866942719116633
13.792,385,-9,-1,9.52069425901202,7.504470349445681
13.824,384,-8,1,9.463812436289503,7.90616322752763
13.856,385,-9,-1,9.52069425901202,7.504470349445681
13.888,384,-8,1,9.463812436289503,7.90616322752763
13.92,385,-9,-1,9.52069425901202,7.504470349445681
13.952,384,-8,1,9.463812436289503,7.90616322752763
13.984,385,-9,-1,9.52069425901202,7.504470349445681
14.016,385,-9,0,9.52069425901202,7.740295331501109
14.048,385,-9,0,9.52069425901202,7.740295331501109
14.08,385,-9,0,9.52069425901202,7.740295331501109
14.112,385,-9,0,9.52069425901202,7.740295331501109
14.144,384,-8,1,9.463812436289503,7.90616322752763
14.176,385,-9,-1,9.52069425901202,7.504470349445681
14.208,385,-9,0,9.52069425901202,7.740295331501109
14.24,385,-9,0,9.52069425901202,7.740295331501109
14.272,386,-10,-1,9.577777777777781,7.381721157459603
14.304,385,-9,1,9.52069425901202,7.781523384707717
14.336,385,-9,0,9.52069425901202,7.740295331501109
14.368,385,-9,0,9.52069425901202,7.740295331501109
14.4,386,-10,-1,9.577777777777781,7.381721157459603
14.432,385,-9,1,9.52069425901202,7.781523384707717
14.464,385,-9,0,9.52069425901202,7.740295331501109
14.496,385,-9,0,9.52069425901202,7.740295331501109
14.528,385,-9,0,9.52069425901202,7.740295331501109
14.56,385,-9,0,9.52069425901202,7.740295331501109
14.592,385,-9,0,9.52069425901202,7.740295331501109
14.624,385,-9,0,9.52069425901202,7.740295331501109
14.656,385,-9,0,9.52069425901202,7.740295331501109
14.688,385,-9,0,9.52069425901202,7.740295331501109
14.72,385,-9,0,9.52069425901202,7.740295331501109
14.752,385,-9,0,9.52069425901202,7.740295331501109
14.784,385,-9,0,9.52069425901202,7.740295331501109
14.816,385,-9,0,9.52069425901202,7.740295331501109
14.848,385,-9,0,9.52069425901202,7.740295331501109
14.88,385,-9,0,9.52069425901202,7.740295331501109
14.912,385,-9,0,9.52069425901202,7.740295331501109
14.944,385,-9,0,9.52069425901202,7.740295331501109
14.976,385,-9,0,9.52069425901202,7.740295331501109
15.008000000000001,385,-9,0,9.52069425901202,7.740295331501109
15.040000000000001,384,-8,1,9.463812436289503,7.90616322752763
15.072000000000001,385,-9,-1,9.52069425901202,7.504470349445681
15.104000000000001,385,-9,0,9.52069425901202,7.740295331501109
15.136000000000001,385,-9,0,9.52069425901202,7.740295331501109
15.168000000000001,384,-8,1,9.463812436289503,7.90616322752763
15.200000000000001,384,-8,0,9.463812436289503,7.866942719116633
15.232000000000001,384,-8,0,9.463812436289503,7.866942719116633
15.264000000000001,384,-8,0,9.463812436289503,7.866942719116633
15.296000000000001,384,-8,0,9.463812436289503,7.866942719116633
15.328000000000001,385,-9,-1,9.52069425901202,7.504470349445681
15.36,383,-7,2,9.407002747428278,8.068924444803141
15.392,384,-8,-1,9.463812436289503,7.628925820638045
